,id,code,is_true,format_code,errorline,code_spec
0,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
main(){
   char a;
   scanf(""%d"",&a);
   if (a==a-32)
     printf(""The character just entered is not a lowercase letter"");
   else
     printf(""The character just entered is a lowercase letter"");
     }",0.0,"#include<stdio.h>
main(){
   char varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0==varb_0-32)
     printf(""The character just entered is not varb_0 lowercase letter"");
   else
     printf(""The character just entered is varb_0 lowercase letter"");
     }",4,2c911d616dd52a5e016de9bd79dc14ab_0.csv
1,2c911d616dd52a5e016de9bd79dc14ab,"#include <stdio.h>
int main()
{
    char character,a,z;
    scanf(""%c"",&character);
    if('character'<='z'||character>='a')
      printf(""The character just entered is a lowercase letter"");
    else
      printf(""The character just entered is not a lowercase letter"");
    return 0;



}",0.0,"#include <stdio.h>
int main()
{
    char varb_0,varb_1,varb_2;
    scanf(""%c"",&varb_0);
    if('character'<='z'||varb_0>='a')
      printf(""The varb_0 just entered is varb_1 lowercase letter"");
    else
      printf(""The varb_0 just entered is not varb_1 lowercase letter"");
    return 0;
}",4,2c911d616dd52a5e016de9bd79dc14ab_1.csv
2,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
main(){
   char a;
   scanf(""%d"",&a);
   if (a==a+32)
     printf(""The character just entered is not a lowercase letter"");
   else
     printf(""The character just entered is a lowercase letter"");
     }",0.0,"#include<stdio.h>
main(){
   char varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0==varb_0+32)
     printf(""The character just entered is not varb_0 lowercase letter"");
   else
     printf(""The character just entered is varb_0 lowercase letter"");
     }",4,2c911d616dd52a5e016de9bd79dc14ab_2.csv
3,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>

int main()

{

    char c;

    scanf(""%c"",&c);

    if((c>='A')&&(c<='Z'))

     printf(""The character just entered is not a lowercase letter"");

    else

     printf(""The character just entered is not a lowercase letter"");

}",0.0,"#include<stdio.h>
int main()
{
    char varb_0;
    scanf(""%c"",&varb_0);
    if((varb_0>='A')&&(varb_0<='Z'))
     printf(""The character just entered is not a lowercase letter"");
    else
     printf(""The character just entered is not a lowercase letter"");
}",7,2c911d616dd52a5e016de9bd79dc14ab_3.csv
4,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
int main()
{  char character;
    scanf(""%c"",&character);
    if('a'<=character||character<='z')
    printf(""The character just entered is a lowercase letter"");
    else
    printf(""The character just entered is not a lowercase letter"");
return 0;
} 
",0.0,"#include<stdio.h>
int main()
{  char varb_0;
    scanf(""%c"",&varb_0);
    if('a'<=varb_0||varb_0<='z')
    printf(""The varb_0 just entered is a lowercase letter"");
    else
    printf(""The varb_0 just entered is not a lowercase letter"");
return 0;
} 
",3,2c911d616dd52a5e016de9bd79dc14ab_4.csv
5,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
void main()
{
    char character;
    scanf(""%c"",&character);
    if(character>='a'&&character<='z')
        printf(""The character just entered is a lowercase letter"");
    else
        printf(""The character just ertered is not a lowercase letter"");
}",0.0,"#include<stdio.h>
void main()
{
    char varb_0;
    scanf(""%c"",&varb_0);
    if(varb_0>='a'&&varb_0<='z')
        printf(""The varb_0 just entered is a lowercase letter"");
    else
        printf(""The varb_0 just ertered is not a lowercase letter"");
}",2,2c911d616dd52a5e016de9bd79dc14ab_5.csv
6,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
int main ()
{
	char a;
	scanf(""%c"",&a);
	if(a>=97 || a<=122)
	printf(""The character just entered is a lowercase letter"");
	else
	printf(""The character just entered is not a lowercase letter"");
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	char varb_0;
	scanf(""%c"",&varb_0);
	if(varb_0>=97 || varb_0<=122)
	printf(""The character just entered is varb_0 lowercase letter"");
	else
	printf(""The character just entered is not varb_0 lowercase letter"");
	return 0;
}",4,2c911d616dd52a5e016de9bd79dc14ab_6.csv
7,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
int  main()
{
char a;
scanf(""%c"",&a);
if(a<90)
printf(""The character just entered is  not a loweecase letter"");
else
printf(""The character just entered is a lowercase letter"");
}",0.0,"#include<stdio.h>
int  main()
{
char varb_0;
scanf(""%c"",&varb_0);
if(varb_0<90)
printf(""The character just entered is  not varb_0 loweecase letter"");
else
printf(""The character just entered is varb_0 lowercase letter"");
}",7,2c911d616dd52a5e016de9bd79dc14ab_7.csv
8,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
main()
{
  char a;
  scanf(""%c"",&a);
  if(a-97>=0)
   printf(""The character just entered is a lowercase letter"");
  else
 
  printf(""The character just entered is not a lowercase letter."");
}",0.0,"#include<stdio.h>
main()
{
  char varb_0;
  scanf(""%c"",&varb_0);
  if(varb_0-97>=0)
   printf(""The character just entered is varb_0 lowercase letter"");
  else
  printf(""The character just entered is not varb_0 lowercase letter."");
}",9,2c911d616dd52a5e016de9bd79dc14ab_8.csv
9,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
int main()
{
char num1,a,z, A, Z;
scanf(""%c"",&num1);
if (num1>='a'&&num1<='z')
   printf(""The character just entered is a lowercase letter"");
if (num1>='A'&&num1<='Z')
   printf(""The character just entered is a not lowercase letter"");
return 0;
}",0.0,"#include<stdio.h>
int main()
{
char varb_0,varb_1,varb_2, varb_3, varb_4;
scanf(""%c"",&varb_0);
if(varb_0>='a'&&varb_0<='z')
   printf(""The character just entered is varb_1 lowercase letter"");
if(varb_0>='A'&&varb_0<='Z')
   printf(""The character just entered is varb_1 not lowercase letter"");
return 0;
}",4,2c911d616dd52a5e016de9bd79dc14ab_9.csv
