,lines,"4
12 89 32 91
32","7
12 43 4533 232 31 322 1
1","6
12 21 392 3 1923 32
1212","10
12 87 32  2 1321 43 9 0 239 2783
999"
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,1,1,1,1
5,6,0,0,0,0
6,7,1,1,1,1
7,8,0,0,0,0
8,9,1,1,1,1
9,10,0,0,0,0
10,11,1,1,1,1
11,12,1,1,1,1
12,13,1,1,1,1
13,14,0,0,0,0
14,15,0,0,0,0
15,16,0,0,0,0
16,17,1,1,1,1
17,18,1,1,1,1
18,19,0,0,0,0
19,20,1,1,1,1
20,21,1,1,1,1
21,22,1,1,1,1
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,1,1,1,1
29,30,0,0,0,0
30,31,1,1,1,1
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,0,0,0,0
35,36,1,1,1,1
36,37,1,1,1,1
37,38,0,0,0,0
38,39,1,1,1,1
39,40,1,1,1,1
40,41,1,1,1,1
41,42,0,0,0,0
42,43,0,0,0,0
43,44,1,1,1,1
44,45,1,1,1,1
45,46,1,1,1,1
46,47,1,1,1,1
47,48,1,1,1,1
48,49,1,1,1,1
49,50,1,1,1,1
50,0,1,0,1,1
