,lines,4500,2000,9000,30000
0,1,0,0,0,0
1,2,0,0,0,0
2,3,1,1,1,1
3,4,0,0,0,0
4,5,0,0,0,0
5,6,0,0,0,0
6,7,0,0,0,0
7,8,0,0,0,0
8,9,1,1,1,1
9,10,0,0,0,0
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,0,0,0,0
14,15,1,1,1,1
15,16,0,0,0,0
16,17,1,1,1,1
17,18,0,0,0,0
18,19,1,1,1,1
19,20,0,0,0,0
20,21,0,0,0,0
21,22,0,0,0,0
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,0,0,0,0
28,29,0,0,0,0
29,30,0,0,0,0
30,31,1,1,1,1
31,32,0,0,0,0
32,33,1,1,1,1
33,34,0,0,0,0
34,35,1,1,1,1
35,36,0,0,0,0
36,37,0,0,0,0
37,38,0,0,0,0
38,39,1,1,1,1
39,40,0,0,0,0
40,41,1,1,1,1
41,42,0,0,0,0
42,43,1,1,1,1
43,44,0,0,0,0
44,45,0,0,0,0
45,46,0,0,0,0
46,47,1,1,1,1
47,48,0,0,0,0
48,49,1,1,1,1
49,50,0,0,0,0
50,51,1,1,1,1
51,52,0,0,0,0
52,53,0,0,0,0
53,54,0,0,0,0
54,55,1,1,1,1
55,56,0,0,0,0
56,57,1,1,1,1
57,58,0,0,0,0
58,59,1,1,1,1
59,60,0,0,0,0
60,61,0,0,0,0
61,62,0,0,0,0
62,63,0,0,0,0
63,64,0,0,0,0
64,65,1,1,1,1
65,66,0,0,0,0
66,67,1,1,1,1
67,68,0,0,0,0
68,69,0,0,0,0
69,70,0,0,0,0
70,71,1,1,1,1
71,72,0,0,0,0
72,73,1,1,1,1
73,0,1,1,0,0
