,lines,"6 -2 3 7 9 101 400
1
96
0","6 -2 3 7 9 101 400
2
400
0","6 -2 3 7 9 101 400
3
7
10
0","6 -2 3 7 9 101 400
4
-2
0"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,0,0,0,0
7,8,0,0,0,0
8,9,1,1,1,1
9,10,1,1,1,1
10,11,1,1,1,1
11,12,1,1,1,1
12,13,1,1,1,1
13,14,1,1,1,1
14,15,1,1,1,1
15,16,0,0,0,0
16,17,1,1,1,1
17,18,1,1,1,1
18,19,1,1,1,1
19,20,1,1,1,1
20,21,1,1,1,1
21,22,1,1,1,1
22,23,0,0,0,0
23,24,0,0,0,0
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,1,1,1,1
28,29,1,1,1,1
29,30,1,1,1,1
30,31,0,0,0,0
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,0,0,0,0
35,36,1,1,1,1
36,37,1,1,1,1
37,38,1,1,1,1
38,39,0,0,0,0
39,40,0,0,0,0
40,41,1,1,1,1
41,42,1,1,1,1
42,43,0,0,0,0
43,44,1,1,1,1
44,45,0,0,0,0
45,46,1,1,1,1
46,47,1,1,1,1
47,48,1,1,1,1
48,49,0,0,0,0
49,50,0,0,0,0
50,51,0,0,0,0
51,52,1,1,1,1
52,53,1,1,1,1
53,54,0,0,0,0
54,55,0,0,0,0
55,56,1,1,1,1
56,57,1,1,1,1
57,58,1,1,1,1
58,59,0,0,0,0
59,60,1,1,1,1
60,61,1,1,1,1
61,62,1,1,1,1
62,63,0,0,0,0
63,64,1,1,1,1
64,65,0,0,0,0
65,66,1,1,1,1
66,67,1,1,1,1
67,68,0,0,0,0
68,69,0,0,0,0
69,70,0,0,0,0
70,71,0,0,0,0
71,72,1,1,1,1
72,73,1,1,1,1
73,74,1,1,1,1
74,75,1,1,1,1
75,76,1,1,1,1
76,77,1,1,1,1
77,78,1,1,1,1
78,79,1,1,1,1
79,80,0,0,0,0
80,81,1,1,1,1
81,82,1,1,1,1
82,83,0,0,0,0
83,84,1,1,1,1
84,85,1,1,1,1
85,86,0,0,0,0
86,87,1,1,1,1
87,0,1,1,1,0
