,lines,0 8000,1 50000,2 40000,3 110000
0,1,0,0,0,0
1,2,0,0,0,0
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,0,0,0,0
7,8,0,0,0,0
8,9,0,0,0,0
9,10,1,1,1,1
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,1,1,1,1
14,15,1,1,1,1
15,16,1,1,1,1
16,17,1,1,1,1
17,18,0,0,0,0
18,19,1,1,1,1
19,20,1,1,1,1
20,21,0,0,0,0
21,22,1,1,1,1
22,23,0,0,0,0
23,24,0,0,0,0
24,25,1,1,1,1
25,26,1,1,1,1
26,27,1,1,1,1
27,28,1,1,1,1
28,29,1,1,1,1
29,30,1,1,1,1
30,31,1,1,1,1
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,0,0,0,0
35,36,0,0,0,0
36,37,1,1,1,1
37,38,1,1,1,1
38,39,1,1,1,1
39,40,1,1,1,1
40,41,1,1,1,1
41,42,1,1,1,1
42,43,1,1,1,1
43,44,1,1,1,1
44,45,0,0,0,0
45,46,1,1,1,1
46,47,0,0,0,0
47,48,0,0,0,0
48,49,1,1,1,1
49,50,1,1,1,1
50,51,1,1,1,1
51,52,1,1,1,1
52,53,1,1,1,1
53,54,1,1,1,1
54,55,1,1,1,1
55,56,1,1,1,1
56,57,0,0,0,0
57,58,1,1,1,1
58,59,0,0,0,0
59,60,0,0,0,0
60,61,1,1,1,1
61,62,1,1,1,1
62,63,1,1,1,1
63,64,1,1,1,1
64,65,1,1,1,1
65,66,1,1,1,1
66,67,1,1,1,1
67,68,1,1,1,1
68,69,0,0,0,0
69,0,1,1,0,1
