,lines,4500,2000,9000,30000
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,1,1,1,1
5,6,1,1,1,1
6,7,1,1,1,1
7,8,1,1,1,1
8,9,0,0,0,0
9,10,1,1,1,1
10,11,0,0,0,0
11,12,1,1,1,1
12,13,1,1,1,1
13,14,0,0,0,0
14,15,1,1,1,1
15,16,0,0,0,0
16,17,1,1,1,1
17,18,1,1,1,1
18,19,0,0,0,0
19,20,1,1,1,1
20,21,0,0,0,0
21,22,1,1,1,1
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,1,1,1,1
28,29,0,0,0,0
29,30,1,1,1,1
30,31,0,0,0,0
31,32,1,1,1,1
32,33,1,1,1,1
33,34,0,0,0,0
34,35,1,1,1,1
35,36,0,0,0,0
36,37,1,1,1,1
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,0,0,0,0
41,42,1,1,1,1
42,43,1,1,1,1
43,44,0,0,0,0
44,45,1,1,1,1
45,46,0,0,0,0
46,0,1,0,1,1
