,lines,"6 -2 3 7 9 101 400
1
96
0","6 -2 3 7 9 101 400
2
400
0","6 -2 3 7 9 101 400
3
7
10
0","6 -2 3 7 9 101 400
4
-2
0"
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,1,1,1,1
7,8,1,1,1,1
8,9,1,1,1,1
9,10,1,1,1,1
10,11,0,0,0,0
11,12,1,1,1,1
12,13,1,1,1,1
13,14,1,1,1,1
14,15,0,0,0,0
15,16,1,1,1,1
16,17,0,0,0,0
17,18,1,1,1,1
18,19,1,1,1,1
19,20,1,1,1,1
20,21,0,0,0,0
21,22,1,1,1,1
22,23,0,0,0,0
23,24,1,1,1,1
24,25,1,1,1,1
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,0,0,0,0
29,30,1,1,1,1
30,31,1,1,1,1
31,32,1,1,1,1
32,33,0,0,0,0
33,34,0,0,0,0
34,35,1,1,1,1
35,0,0,0,0,1
