,lines,4500,2000,9000,30000
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,0,0,0,0
7,8,1,1,1,1
8,9,0,0,0,0
9,10,1,1,1,1
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,0,0,0,0
14,15,1,1,1,1
15,16,1,1,1,1
16,17,0,0,0,0
17,18,1,1,1,1
18,19,0,0,0,0
19,20,1,1,1,1
20,21,1,1,1,1
21,22,0,0,0,0
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,0,0,0,0
29,30,1,1,1,1
30,31,1,1,1,1
31,32,0,0,0,0
32,33,1,1,1,1
33,34,0,0,0,0
34,35,1,1,1,1
35,36,1,1,1,1
36,37,0,0,0,0
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,1,1,1,1
41,42,0,0,0,0
42,43,0,0,0,0
43,44,0,0,0,0
44,45,1,1,1,1
45,46,1,1,1,1
46,47,0,0,0,0
47,48,1,1,1,1
48,49,1,1,1,1
49,50,0,0,0,0
50,51,1,1,1,1
51,0,0,1,0,0
