,lines,50 97 m,50 93 m,50 90 m,50 90 e,50 93 e,50 97 e
0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0
2,3,1,1,1,1,1,1
3,4,0,0,0,0,0,0
4,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
6,7,1,1,1,1,1,1
7,8,1,1,1,1,1,1
8,9,0,0,0,0,0,0
9,10,1,1,1,1,1,1
10,11,1,1,1,1,1,1
11,12,1,1,1,1,1,1
12,13,1,1,1,1,1,1
13,14,1,1,1,1,1,1
14,15,1,1,1,1,1,1
15,16,0,0,0,0,0,0
16,17,1,1,1,1,1,1
17,18,0,0,0,0,0,0
18,19,1,1,1,1,1,1
19,20,1,1,1,1,1,1
20,21,1,1,1,1,1,1
21,22,1,1,1,1,1,1
22,23,1,1,1,1,1,1
23,24,1,1,1,1,1,1
24,25,0,0,0,0,0,0
25,26,1,1,1,1,1,1
26,0,0,1,1,1,1,1
