,lines,2018 11 11,2016 11 11,2017 3 5
0,1,0,0,0
1,2,0,0,0
2,3,0,0,0
3,4,1,1,1
4,5,0,0,0
5,6,0,0,0
6,7,1,1,1
7,8,1,1,1
8,9,1,1,1
9,10,1,1,1
10,11,0,0,0
11,12,0,0,0
12,13,1,1,1
13,14,0,0,0
14,15,1,1,1
15,16,1,1,1
16,17,0,0,0
17,18,1,1,1
18,19,0,0,0
19,20,1,1,1
20,21,0,0,0
21,22,0,0,0
22,23,1,1,1
23,24,1,1,1
24,25,0,0,0
25,26,1,1,1
26,27,1,1,1
27,28,1,1,1
28,29,1,1,1
29,30,1,1,1
30,31,1,1,1
31,32,1,1,1
32,33,1,1,1
33,34,1,1,1
34,35,1,1,1
35,36,0,0,0
36,37,1,1,1
37,38,1,1,1
38,39,0,0,0
39,40,1,1,1
40,41,0,0,0
41,42,1,1,1
42,43,1,1,1
43,44,1,1,1
44,45,0,0,0
45,46,1,1,1
46,47,0,0,0
47,0,0,1,0
