,lines,0 8000,1 50000,2 40000,3 110000
0,1,0,0,0,0
1,2,0,0,0,0
2,3,1,1,1,1
3,4,0,0,0,0
4,5,0,0,0,0
5,6,0,0,0,0
6,7,1,1,1,1
7,8,1,1,1,1
8,9,0,0,0,0
9,10,1,1,1,1
10,11,1,1,1,1
11,12,1,1,1,1
12,13,1,1,1,1
13,14,1,1,1,1
14,15,1,1,1,1
15,16,1,1,1,1
16,17,1,1,1,1
17,18,1,1,1,1
18,19,1,1,1,1
19,20,0,0,0,0
20,21,1,1,1,1
21,22,1,1,1,1
22,23,0,0,0,0
23,24,1,1,1,1
24,25,0,0,0,0
25,26,1,1,1,1
26,27,1,1,1,1
27,28,1,1,1,1
28,29,1,1,1,1
29,30,1,1,1,1
30,31,1,1,1,1
31,32,1,1,1,1
32,33,1,1,1,1
33,34,1,1,1,1
34,35,1,1,1,1
35,36,0,0,0,0
36,37,1,1,1,1
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,0,0,0,0
41,42,1,1,1,1
42,43,1,1,1,1
43,44,1,1,1,1
44,45,1,1,1,1
45,46,1,1,1,1
46,47,1,1,1,1
47,48,1,1,1,1
48,49,1,1,1,1
49,50,1,1,1,1
50,51,1,1,1,1
51,52,0,0,0,0
52,53,1,1,1,1
53,54,1,1,1,1
54,55,0,0,0,0
55,56,0,0,0,0
56,57,0,0,0,0
57,58,1,1,1,1
58,59,1,1,1,1
59,60,1,1,1,1
60,61,1,1,1,1
61,62,1,1,1,1
62,63,1,1,1,1
63,64,1,1,1,1
64,65,1,1,1,1
65,66,1,1,1,1
66,67,1,1,1,1
67,68,0,0,0,0
68,69,1,1,1,1
69,70,1,1,1,1
70,71,0,0,0,0
71,72,1,1,1,1
72,73,0,0,0,0
73,0,1,1,1,0
