,lines,2018 11 11,2016 11 11,2017 3 5
0,1,0,0,0
1,2,1,1,1
2,3,0,0,0
3,4,0,0,0
4,5,1,1,1
5,6,1,1,1
6,7,1,1,1
7,8,0,0,0
8,9,1,1,1
9,10,1,1,1
10,11,1,1,1
11,12,1,1,1
12,13,1,1,1
13,14,1,1,1
14,15,1,1,1
15,16,1,1,1
16,17,1,1,1
17,18,1,1,1
18,19,1,1,1
19,20,1,1,1
20,21,1,1,1
21,22,1,1,1
22,23,0,0,0
23,24,0,0,0
24,25,0,0,0
25,26,1,1,1
26,27,1,1,1
27,28,1,1,1
28,29,1,1,1
29,30,1,1,1
30,31,1,1,1
31,32,1,1,1
32,33,1,1,1
33,34,1,1,1
34,35,1,1,1
35,36,1,1,1
36,37,1,1,1
37,38,1,1,1
38,39,1,1,1
39,40,0,0,0
40,41,1,1,1
41,42,1,1,1
42,43,1,1,1
43,0,0,1,1
