,lines,"4
12 89 32 91
32","7
12 43 4533 232 31 322 1
1","6
12 21 392 3 1923 32
1212","10
12 87 32  2 1321 43 9 0 239 2783
999"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,0,0,0,0
3,4,1,1,1,1
4,5,0,0,0,0
5,6,0,0,0,0
6,7,1,1,1,1
7,8,1,1,1,1
8,9,1,1,1,1
9,10,1,1,1,1
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,0,0,0,0
14,15,0,0,0,0
15,16,1,1,1,1
16,17,0,0,0,0
17,18,1,1,1,1
18,19,0,0,0,0
19,20,1,1,1,1
20,21,0,0,0,0
21,22,1,1,1,1
22,23,0,0,0,0
23,24,1,1,1,1
24,25,0,0,0,0
25,26,1,1,1,1
26,27,1,1,1,1
27,28,1,1,1,1
28,29,0,0,0,0
29,30,0,0,0,0
30,31,0,0,0,0
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,0,0,0,0
35,36,0,0,0,0
36,37,1,1,1,1
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,0,0,0,0
41,42,1,1,1,1
42,43,1,1,1,1
43,44,0,0,0,0
44,45,1,1,1,1
45,46,1,1,1,1
46,47,0,0,0,0
47,48,1,1,1,1
48,49,0,0,0,0
49,50,1,1,1,1
50,51,0,0,0,0
51,52,1,1,1,1
52,53,0,0,0,0
53,54,1,1,1,1
54,55,1,1,1,1
55,56,0,0,0,0
56,57,1,1,1,1
57,58,1,1,1,1
58,59,0,0,0,0
59,60,1,1,1,1
60,61,0,0,0,0
61,62,1,1,1,1
62,63,1,1,1,1
63,64,0,0,0,0
64,65,1,1,1,1
65,0,0,0,1,1
