,lines,"4
12 89 32 91
32","7
12 43 4533 232 31 322 1
1","6
12 21 392 3 1923 32
1212","10
12 87 32  2 1321 43 9 0 239 2783
999"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,1,1,1,1
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,1,1,1,1
7,8,1,1,1,1
8,9,0,0,0,0
9,10,1,1,1,1
10,11,0,0,0,0
11,12,1,1,1,1
12,13,0,0,0,0
13,14,1,1,1,1
14,15,0,0,0,0
15,16,1,1,1,1
16,17,0,0,0,0
17,18,1,1,1,1
18,19,1,1,1,1
19,20,1,1,1,1
20,21,0,0,0,0
21,22,0,0,0,0
22,23,0,0,0,0
23,24,1,1,1,1
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,1,1,1,1
28,29,0,0,0,0
29,30,1,1,1,1
30,31,0,0,0,0
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,0,0,0,0
35,36,1,1,1,1
36,37,0,0,0,0
37,38,1,1,1,1
38,39,0,0,0,0
39,40,0,0,0,0
40,41,1,1,1,1
41,42,1,1,1,1
42,43,0,0,0,0
43,44,1,1,1,1
44,45,1,1,1,1
45,46,0,0,0,0
46,47,0,0,0,0
47,0,0,0,1,1
