,lines,"6 -2 3 7 9 101 400
1
96
0","6 -2 3 7 9 101 400
2
400
0","6 -2 3 7 9 101 400
3
7
10
0","6 -2 3 7 9 101 400
4
-2
0"
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,1,1,1,1
5,6,0,0,0,0
6,7,1,1,1,1
7,8,0,0,0,0
8,9,1,1,1,1
9,10,0,0,0,0
10,11,1,1,1,1
11,12,1,1,1,1
12,13,1,1,1,1
13,14,0,0,0,0
14,15,0,0,0,0
15,16,0,0,0,0
16,17,1,1,1,1
17,18,1,1,1,1
18,19,0,0,0,0
19,20,0,0,0,0
20,21,1,1,1,1
21,22,1,1,1,1
22,23,1,1,1,1
23,24,1,1,1,1
24,25,1,1,1,1
25,26,1,1,1,1
26,27,1,1,1,1
27,28,0,0,0,0
28,29,1,1,1,1
29,30,1,1,1,1
30,31,1,1,1,1
31,32,0,0,0,0
32,33,1,1,1,1
33,34,1,1,1,1
34,35,1,1,1,1
35,36,0,0,0,0
36,37,1,1,1,1
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,0,0,0,0
41,42,1,1,1,1
42,43,1,1,1,1
43,44,1,1,1,1
44,45,0,0,0,0
45,46,1,1,1,1
46,47,1,1,1,1
47,48,0,0,0,0
48,49,1,1,1,1
49,50,1,1,1,1
50,51,1,1,1,1
51,52,1,1,1,1
52,53,1,1,1,1
53,54,0,0,0,0
54,55,1,1,1,1
55,56,0,0,0,0
56,57,1,1,1,1
57,58,1,1,1,1
58,59,1,1,1,1
59,60,1,1,1,1
60,61,1,1,1,1
61,62,1,1,1,1
62,63,1,1,1,1
63,64,0,0,0,0
64,65,1,1,1,1
65,66,0,0,0,0
66,67,1,1,1,1
67,68,1,1,1,1
68,69,1,1,1,1
69,70,0,0,0,0
70,71,1,1,1,1
71,72,1,1,1,1
72,0,0,0,0,1
