,lines,"4
12 89 32 91
32","7
12 43 4533 232 31 322 1
1","6
12 21 392 3 1923 32
1212","10
12 87 32  2 1321 43 9 0 239 2783
999"
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,1,1,1,1
4,5,1,1,1,1
5,6,1,1,1,1
6,7,1,1,1,1
7,8,0,0,0,0
8,9,1,1,1,1
9,10,0,0,0,0
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,0,0,0,0
14,15,1,1,1,1
15,16,0,0,0,0
16,17,1,1,1,1
17,18,1,1,1,1
18,19,1,1,1,1
19,20,0,0,0,0
20,21,0,0,0,0
21,22,0,0,0,0
22,23,0,0,0,0
23,24,1,1,1,1
24,25,1,1,1,1
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,1,1,1,1
29,30,0,0,0,0
30,31,1,1,1,1
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,1,1,1,1
35,36,0,0,0,0
36,37,1,1,1,1
37,38,0,0,0,0
38,39,1,1,1,1
39,40,1,1,1,1
40,0,0,0,1,1
