,lines,"6 -2 3 7 9 101 400
1
96
0","6 -2 3 7 9 101 400
2
400
0","6 -2 3 7 9 101 400
3
7
10
0","6 -2 3 7 9 101 400
4
-2
0"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,0,0,0,0
7,8,0,0,0,0
8,9,1,1,1,1
9,10,1,1,1,1
10,11,1,1,1,1
11,12,1,1,1,1
12,13,1,1,1,1
13,14,1,1,1,1
14,15,1,1,1,1
15,16,0,0,0,0
16,17,1,1,1,1
17,18,1,1,1,1
18,19,1,1,1,1
19,20,1,1,1,1
20,21,1,1,1,1
21,22,1,1,1,1
22,23,0,0,0,0
23,24,0,0,0,0
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,0,0,0,0
28,29,1,1,1,1
29,30,1,1,1,1
30,31,1,1,1,1
31,32,0,0,0,0
32,33,0,0,0,0
33,34,1,1,1,1
34,35,1,1,1,1
35,36,0,0,0,0
36,37,1,1,1,1
37,38,0,0,0,0
38,39,1,1,1,1
39,40,1,1,1,1
40,41,1,1,1,1
41,42,0,0,0,0
42,43,0,0,0,0
43,44,0,0,0,0
44,45,1,1,1,1
45,46,1,1,1,1
46,47,0,0,0,0
47,48,0,0,0,0
48,49,1,1,1,1
49,50,1,1,1,1
50,51,1,1,1,1
51,52,1,1,1,1
52,53,0,0,0,0
53,54,1,1,1,1
54,55,0,0,0,0
55,56,1,1,1,1
56,57,1,1,1,1
57,58,0,0,0,0
58,59,1,1,1,1
59,60,1,1,1,1
60,61,1,1,1,1
61,62,0,0,0,0
62,63,1,1,1,1
63,64,0,0,0,0
64,65,1,1,1,1
65,66,1,1,1,1
66,67,0,0,0,0
67,68,0,0,0,0
68,69,0,0,0,0
69,70,0,0,0,0
70,71,1,1,1,1
71,72,1,1,1,1
72,73,1,1,1,1
73,74,1,1,1,1
74,75,1,1,1,1
75,76,0,0,0,0
76,77,1,1,1,1
77,78,0,0,0,0
78,79,1,1,1,1
79,80,1,1,1,1
80,81,1,1,1,1
81,82,1,1,1,1
82,83,1,1,1,1
83,84,1,1,1,1
84,85,1,1,1,1
85,86,1,1,1,1
86,87,1,1,1,1
87,88,0,0,0,0
88,89,1,1,1,1
89,90,0,0,0,0
90,91,1,1,1,1
91,92,1,1,1,1
92,93,0,0,0,0
93,94,1,1,1,1
94,95,1,1,1,1
95,96,0,0,0,0
96,97,1,1,1,1
97,98,1,1,1,1
98,99,0,0,0,0
99,100,1,1,1,1
100,0,1,1,0,0
