,lines,0 8000,1 50000,2 40000,3 110000
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,1,1,1,1
7,8,0,0,0,0
8,9,1,1,1,1
9,10,1,1,1,1
10,11,0,0,0,0
11,12,1,1,1,1
12,13,1,1,1,1
13,14,0,0,0,0
14,15,1,1,1,1
15,16,0,0,0,0
16,17,1,1,1,1
17,18,1,1,1,1
18,19,0,0,0,0
19,20,1,1,1,1
20,21,0,0,0,0
21,22,1,1,1,1
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,1,1,1,1
28,29,0,0,0,0
29,30,1,1,1,1
30,31,0,0,0,0
31,32,1,1,1,1
32,33,1,1,1,1
33,34,0,0,0,0
34,35,0,0,0,0
35,36,0,0,0,0
36,37,1,1,1,1
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,1,1,1,1
41,42,1,1,1,1
42,43,0,0,0,0
43,44,1,1,1,1
44,45,1,1,1,1
45,46,0,0,0,0
46,47,1,1,1,1
47,48,0,0,0,0
48,49,1,1,1,1
49,50,1,1,1,1
50,51,0,0,0,0
51,52,1,1,1,1
52,53,0,0,0,0
53,54,1,1,1,1
54,55,1,1,1,1
55,56,0,0,0,0
56,57,1,1,1,1
57,58,0,0,0,0
58,59,1,1,1,1
59,60,1,1,1,1
60,61,0,0,0,0
61,62,1,1,1,1
62,63,0,0,0,0
63,64,1,1,1,1
64,65,1,1,1,1
65,66,0,0,0,0
66,67,0,0,0,0
67,68,0,0,0,0
68,69,1,1,1,1
69,70,1,1,1,1
70,71,0,0,0,0
71,72,1,1,1,1
72,73,1,1,1,1
73,74,1,1,1,1
74,75,0,0,0,0
75,76,1,1,1,1
76,77,1,1,1,1
77,78,0,0,0,0
78,79,1,1,1,1
79,80,0,0,0,0
80,81,1,1,1,1
81,82,1,1,1,1
82,83,0,0,0,0
83,84,1,1,1,1
84,85,0,0,0,0
85,86,1,1,1,1
86,87,1,1,1,1
87,88,0,0,0,0
88,89,1,1,1,1
89,90,0,0,0,0
90,91,1,1,1,1
91,92,1,1,1,1
92,93,0,0,0,0
93,94,1,1,1,1
94,95,0,0,0,0
95,96,1,1,1,1
96,97,1,1,1,1
97,98,0,0,0,0
98,99,0,0,0,0
99,100,0,0,0,0
100,101,1,1,1,1
101,102,1,1,1,1
102,103,0,0,0,0
103,104,1,1,1,1
104,105,1,1,1,1
105,106,1,1,1,1
106,107,0,0,0,0
107,108,1,1,1,1
108,109,1,1,1,1
109,110,0,0,0,0
110,111,1,1,1,1
111,112,0,0,0,0
112,113,1,1,1,1
113,114,1,1,1,1
114,115,0,0,0,0
115,116,1,1,1,1
116,117,0,0,0,0
117,118,1,1,1,1
118,119,1,1,1,1
119,120,0,0,0,0
120,121,1,1,1,1
121,122,0,0,0,0
122,123,1,1,1,1
123,124,1,1,1,1
124,125,0,0,0,0
125,126,1,1,1,1
126,127,0,0,0,0
127,128,1,1,1,1
128,129,1,1,1,1
129,130,0,0,0,0
130,131,0,0,0,0
131,132,0,0,0,0
132,133,1,1,1,1
133,134,1,1,1,1
134,135,0,0,0,0
135,136,1,1,1,1
136,137,0,0,0,0
137,138,1,1,1,1
138,139,0,0,0,0
139,140,0,0,0,0
140,0,1,1,0,0
