,lines,50 97 m,50 93 m,50 90 m,50 90 e,50 93 e,50 97 e
0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0
2,3,1,1,1,1,1,1
3,4,0,0,0,0,0,0
4,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
6,7,1,1,1,1,1,1
7,8,1,1,1,1,1,1
8,9,1,1,1,1,1,1
9,10,1,1,1,1,1,1
10,11,1,1,1,1,1,1
11,12,1,1,1,1,1,1
12,13,0,0,0,0,0,0
13,14,1,1,1,1,1,1
14,15,0,0,0,0,0,0
15,16,1,1,1,1,1,1
16,17,0,0,0,0,0,0
17,18,1,1,1,1,1,1
18,19,1,1,1,1,1,1
19,20,0,0,0,0,0,0
20,21,1,1,1,1,1,1
21,22,0,0,0,0,0,0
22,23,1,1,1,1,1,1
23,24,1,1,1,1,1,1
24,25,0,0,0,0,0,0
25,26,1,1,1,1,1,1
26,27,0,0,0,0,0,0
27,28,1,1,1,1,1,1
28,29,1,1,1,1,1,1
29,30,0,0,0,0,0,0
30,31,0,0,0,0,0,0
31,32,1,1,1,1,1,1
32,33,1,1,1,1,1,1
33,34,0,0,0,0,0,0
34,35,1,1,1,1,1,1
35,36,0,0,0,0,0,0
36,37,1,1,1,1,1,1
37,38,1,1,1,1,1,1
38,39,0,0,0,0,0,0
39,40,1,1,1,1,1,1
40,41,0,0,0,0,0,0
41,42,1,1,1,1,1,1
42,43,1,1,1,1,1,1
43,44,0,0,0,0,0,0
44,45,1,1,1,1,1,1
45,46,0,0,0,0,0,0
46,47,1,1,1,1,1,1
47,48,1,1,1,1,1,1
48,49,1,1,1,1,1,1
49,50,0,0,0,0,0,0
50,51,0,0,0,0,0,0
51,52,0,0,0,0,0,0
52,53,1,1,1,1,1,1
53,54,0,0,0,0,0,0
54,0,0,1,1,1,1,0
