,lines,0 8000,1 50000,2 40000,3 110000
0,1,0,0,0,0
1,2,0,0,0,0
2,3,1,1,1,1
3,4,0,0,0,0
4,5,0,0,0,0
5,6,0,0,0,0
6,7,1,1,1,1
7,8,1,1,1,1
8,9,0,0,0,0
9,10,1,1,1,1
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,1,1,1,1
14,15,0,0,0,0
15,16,1,1,1,1
16,17,0,0,0,0
17,18,1,1,1,1
18,19,1,1,1,1
19,20,0,0,0,0
20,21,1,1,1,1
21,22,0,0,0,0
22,23,1,1,1,1
23,24,1,1,1,1
24,25,0,0,0,0
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,1,1,1,1
29,30,0,0,0,0
30,31,1,1,1,1
31,32,0,0,0,0
32,33,1,1,1,1
33,34,1,1,1,1
34,35,0,0,0,0
35,36,0,0,0,0
36,37,0,0,0,0
37,38,1,1,1,1
38,39,1,1,1,1
39,40,0,0,0,0
40,41,1,1,1,1
41,42,1,1,1,1
42,43,1,1,1,1
43,44,0,0,0,0
44,45,1,1,1,1
45,46,1,1,1,1
46,47,0,0,0,0
47,48,1,1,1,1
48,49,0,0,0,0
49,50,1,1,1,1
50,51,1,1,1,1
51,52,0,0,0,0
52,53,1,1,1,1
53,54,0,0,0,0
54,55,1,1,1,1
55,56,1,1,1,1
56,57,0,0,0,0
57,58,1,1,1,1
58,59,0,0,0,0
59,60,1,1,1,1
60,61,1,1,1,1
61,62,0,0,0,0
62,63,1,1,1,1
63,64,0,0,0,0
64,65,1,1,1,1
65,66,1,1,1,1
66,67,0,0,0,0
67,68,0,0,0,0
68,69,0,0,0,0
69,70,1,1,1,1
70,71,1,1,1,1
71,72,0,0,0,0
72,73,1,1,1,1
73,74,1,1,1,1
74,75,1,1,1,1
75,76,0,0,0,0
76,77,1,1,1,1
77,78,1,1,1,1
78,79,0,0,0,0
79,80,1,1,1,1
80,81,0,0,0,0
81,82,1,1,1,1
82,83,1,1,1,1
83,84,0,0,0,0
84,85,1,1,1,1
85,86,0,0,0,0
86,87,1,1,1,1
87,88,1,1,1,1
88,89,0,0,0,0
89,90,1,1,1,1
90,91,0,0,0,0
91,92,1,1,1,1
92,93,1,1,1,1
93,94,0,0,0,0
94,95,1,1,1,1
95,96,0,0,0,0
96,97,1,1,1,1
97,98,1,1,1,1
98,99,0,0,0,0
99,100,0,0,0,0
100,101,0,0,0,0
101,102,1,1,1,1
102,103,1,1,1,1
103,104,0,0,0,0
104,105,1,1,1,1
105,106,0,0,0,0
106,107,1,1,1,1
107,108,0,0,0,0
108,0,1,1,0,0
