,lines,50 97 m,50 93 m,50 90 m,50 90 e,50 93 e,50 97 e
0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0
2,3,1,1,1,1,1,1
3,4,0,0,0,0,0,0
4,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
6,7,0,0,0,0,0,0
7,8,1,1,1,1,1,1
8,9,1,1,1,1,1,1
9,10,0,0,0,0,0,0
10,11,1,1,1,1,1,1
11,12,0,0,0,0,0,0
12,13,1,1,1,1,1,1
13,14,1,1,1,1,1,1
14,15,0,0,0,0,0,0
15,16,0,0,0,0,0,0
16,17,0,0,0,0,0,0
17,18,1,1,1,1,1,1
18,19,1,1,1,1,1,1
19,20,0,0,0,0,0,0
20,21,0,0,0,0,0,0
21,22,1,1,1,1,1,1
22,23,0,0,0,0,0,0
23,24,1,1,1,1,1,1
24,25,0,0,0,0,0,0
25,26,1,1,1,1,1,1
26,27,1,1,1,1,1,1
27,28,0,0,0,0,0,0
28,29,0,0,0,0,0,0
29,30,0,0,0,0,0,0
30,31,1,1,1,1,1,1
31,32,1,1,1,1,1,1
32,33,0,0,0,0,0,0
33,34,0,0,0,0,0,0
34,35,0,0,0,0,0,0
35,36,0,0,0,0,0,0
36,37,1,1,1,1,1,1
37,38,0,0,0,0,0,0
38,39,1,1,1,1,1,1
39,40,1,1,1,1,1,1
40,41,0,0,0,0,0,0
41,42,0,0,0,0,0,0
42,43,0,0,0,0,0,0
43,44,1,1,1,1,1,1
44,45,1,1,1,1,1,1
45,46,0,0,0,0,0,0
46,47,0,0,0,0,0,0
47,48,0,0,0,0,0,0
48,49,1,1,1,1,1,1
49,50,0,0,0,0,0,0
50,0,0,1,0,0,1,1
