,lines,50 97 m,50 93 m,50 90 m,50 90 e,50 93 e,50 97 e
0,1,0,0,0,0,0,0
1,2,1,1,1,1,1,1
2,3,0,0,0,0,0,0
3,4,0,0,0,0,0,0
4,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
6,7,1,1,1,1,1,1
7,8,1,1,1,1,1,1
8,9,0,0,0,0,0,0
9,10,1,1,1,1,1,1
10,11,0,0,0,0,0,0
11,12,1,1,1,1,1,1
12,13,1,1,1,1,1,1
13,14,0,0,0,0,0,0
14,15,1,1,1,1,1,1
15,16,0,0,0,0,0,0
16,17,1,1,1,1,1,1
17,18,1,1,1,1,1,1
18,19,0,0,0,0,0,0
19,20,1,1,1,1,1,1
20,21,0,0,0,0,0,0
21,22,1,1,1,1,1,1
22,23,1,1,1,1,1,1
23,24,1,1,1,1,1,1
24,25,0,0,0,0,0,0
25,26,0,0,0,0,0,0
26,27,1,1,1,1,1,1
27,28,0,0,0,0,0,0
28,29,1,1,1,1,1,1
29,30,0,0,0,0,0,0
30,31,1,1,1,1,1,1
31,32,1,1,1,1,1,1
32,33,0,0,0,0,0,0
33,34,1,1,1,1,1,1
34,35,0,0,0,0,0,0
35,36,1,1,1,1,1,1
36,37,1,1,1,1,1,1
37,38,0,0,0,0,0,0
38,39,1,1,1,1,1,1
39,40,0,0,0,0,0,0
40,41,1,1,1,1,1,1
41,42,1,1,1,1,1,1
42,43,1,1,1,1,1,1
43,44,0,0,0,0,0,0
44,45,0,0,0,0,0,0
45,46,1,1,1,1,1,1
46,47,0,0,0,0,0,0
47,0,0,1,1,1,1,0
