,lines,4500,2000,9000,30000
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,1,1,1,1
7,8,1,1,1,1
8,9,1,1,1,1
9,10,0,0,0,0
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,1,1,1,1
14,15,0,0,0,0
15,16,1,1,1,1
16,17,0,0,0,0
17,18,1,1,1,1
18,19,1,1,1,1
19,20,0,0,0,0
20,21,1,1,1,1
21,22,0,0,0,0
22,23,1,1,1,1
23,24,1,1,1,1
24,25,0,0,0,0
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,1,1,1,1
29,30,0,0,0,0
30,31,1,1,1,1
31,32,0,0,0,0
32,33,1,1,1,1
33,34,1,1,1,1
34,35,0,0,0,0
35,36,1,1,1,1
36,37,0,0,0,0
37,38,1,1,1,1
38,39,1,1,1,1
39,40,0,0,0,0
40,41,1,1,1,1
41,42,0,0,0,0
42,43,1,1,1,1
43,44,1,1,1,1
44,45,0,0,0,0
45,46,1,1,1,1
46,47,0,0,0,0
47,48,0,0,0,0
48,49,0,0,0,0
49,50,0,0,0,0
50,51,0,0,0,0
51,52,0,0,0,0
52,53,0,0,0,0
53,54,0,0,0,0
54,55,0,0,0,0
55,56,0,0,0,0
56,0,0,1,0,0
