,lines,99,88,77,66,55,120
0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0
2,3,1,1,1,1,1,1
3,4,0,0,0,0,0,0
4,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
6,7,0,0,0,0,0,0
7,8,0,0,0,0,0,0
8,9,1,1,1,1,1,1
9,10,1,1,1,1,1,1
10,11,0,0,0,0,0,0
11,12,1,1,1,1,1,1
12,13,0,0,0,0,0,0
13,14,1,1,1,1,1,1
14,15,0,0,0,0,0,0
15,16,1,1,1,1,1,1
16,17,0,0,0,0,0,0
17,18,1,1,1,1,1,1
18,19,0,0,0,0,0,0
19,20,1,1,1,1,1,1
20,21,0,0,0,0,0,0
21,22,1,1,1,1,1,1
22,23,0,0,0,0,0,0
23,24,1,1,1,1,1,1
24,25,0,0,0,0,0,0
25,26,0,0,0,0,0,0
26,27,0,0,0,0,0,0
27,28,1,1,1,1,1,1
28,29,0,0,0,0,0,0
29,30,0,0,0,0,0,0
30,31,0,0,0,0,0,0
31,32,1,1,1,1,1,1
32,33,0,0,0,0,0,0
33,34,0,0,0,0,0,0
34,0,1,1,1,1,1,0
