,lines,"6 -2 3 7 9 101 400
1
96
0","6 -2 3 7 9 101 400
2
400
0","6 -2 3 7 9 101 400
3
7
10
0","6 -2 3 7 9 101 400
4
-2
0"
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,1,1,1,1
4,5,1,1,1,1
5,6,0,0,0,0
6,7,1,1,1,1
7,8,0,0,0,0
8,9,1,1,1,1
9,10,0,0,0,0
10,11,1,1,1,1
11,12,1,1,1,1
12,13,0,0,0,0
13,14,1,1,1,1
14,15,1,1,1,1
15,16,0,0,0,0
16,17,1,1,1,1
17,18,1,1,1,1
18,19,1,1,1,1
19,20,0,0,0,0
20,21,1,1,1,1
21,22,0,0,0,0
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,1,1,1,1
28,29,1,1,1,1
29,30,0,0,0,0
30,31,0,0,0,0
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,0,0,0,0
35,36,1,1,1,1
36,37,1,1,1,1
37,38,1,1,1,1
38,39,1,1,1,1
39,40,1,1,1,1
40,41,0,0,0,0
41,42,1,1,1,1
42,43,0,0,0,0
43,44,1,1,1,1
44,45,0,0,0,0
45,46,1,1,1,1
46,47,0,0,0,0
47,48,1,1,1,1
48,49,1,1,1,1
49,50,0,0,0,0
50,51,0,0,0,0
51,52,1,1,1,1
52,53,0,0,0,0
53,54,1,1,1,1
54,55,0,0,0,0
55,56,1,1,1,1
56,57,1,1,1,1
57,58,1,1,1,1
58,59,1,1,1,1
59,60,1,1,1,1
60,61,0,0,0,0
61,62,1,1,1,1
62,63,0,0,0,0
63,64,1,1,1,1
64,65,1,1,1,1
65,66,0,0,0,0
66,67,0,0,0,0
67,68,1,1,1,1
68,69,0,0,0,0
69,70,1,1,1,1
70,71,0,0,0,0
71,72,1,1,1,1
72,73,1,1,1,1
73,74,1,1,1,1
74,75,1,1,1,1
75,76,1,1,1,1
76,77,0,0,0,0
77,78,1,1,1,1
78,79,0,0,0,0
79,80,1,1,1,1
80,81,1,1,1,1
81,82,0,0,0,0
82,83,0,0,0,0
83,84,1,1,1,1
84,85,1,1,1,1
85,86,1,1,1,1
86,87,1,1,1,1
87,88,0,0,0,0
88,89,0,0,0,0
89,90,1,1,1,1
90,91,1,1,1,1
91,0,0,0,0,1
