,lines,99,88,77,66,55,120
0,1,0,0,0,0,0,0
1,2,1,1,1,1,1,1
2,3,0,0,0,0,0,0
3,4,0,0,0,0,0,0
4,5,1,1,1,1,1,1
5,6,1,1,1,1,1,1
6,7,1,1,1,1,1,1
7,8,1,1,1,1,1,1
8,9,1,1,1,1,1,1
9,10,1,1,1,1,1,1
10,11,1,1,1,1,1,1
11,12,1,1,1,1,1,1
12,13,1,1,1,1,1,1
13,14,1,1,1,1,1,1
14,15,1,1,1,1,1,1
15,16,1,1,1,1,1,1
16,17,1,1,1,1,1,1
17,18,1,1,1,1,1,1
18,19,1,1,1,1,1,1
19,20,1,1,1,1,1,1
20,21,0,0,0,0,0,0
21,22,0,0,0,0,0,0
22,23,0,0,0,0,0,0
23,24,0,0,0,0,0,0
24,25,0,0,0,0,0,0
25,26,0,0,0,0,0,0
26,27,0,0,0,0,0,0
27,0,1,1,1,1,1,0
