,lines,4500,2000,9000,30000
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,1,1,1,1
5,6,1,1,1,1
6,7,1,1,1,1
7,8,1,1,1,1
8,9,0,0,0,0
9,10,1,1,1,1
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,1,1,1,1
14,15,0,0,0,0
15,16,1,1,1,1
16,17,1,1,1,1
17,18,0,0,0,0
18,19,1,1,1,1
19,20,1,1,1,1
20,21,0,0,0,0
21,22,1,1,1,1
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,1,1,1,1
29,30,0,0,0,0
30,31,1,1,1,1
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,1,1,1,1
35,36,0,0,0,0
36,37,1,1,1,1
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,1,1,1,1
41,42,0,0,0,0
42,43,1,1,1,1
43,44,1,1,1,1
44,45,0,0,0,0
45,46,1,1,1,1
46,47,1,1,1,1
47,48,0,0,0,0
48,49,0,0,0,0
49,50,1,1,1,1
50,0,1,0,1,1
