,lines,4500,2000,9000,30000
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,1,1,1,1
5,6,1,1,1,1
6,7,1,1,1,1
7,8,1,1,1,1
8,9,1,1,1,1
9,10,1,1,1,1
10,11,0,0,0,0
11,12,1,1,1,1
12,13,1,1,1,1
13,14,1,1,1,1
14,15,0,0,0,0
15,16,1,1,1,1
16,17,1,1,1,1
17,18,1,1,1,1
18,19,0,0,0,0
19,20,1,1,1,1
20,21,1,1,1,1
21,22,1,1,1,1
22,23,0,0,0,0
23,24,1,1,1,1
24,25,1,1,1,1
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,1,1,1,1
29,30,1,1,1,1
30,31,0,0,0,0
31,32,1,1,1,1
32,33,1,1,1,1
33,34,1,1,1,1
34,35,0,0,0,0
35,36,0,0,0,0
36,37,1,1,1,1
37,0,1,0,0,1
