,lines,4500,2000,9000,30000
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,0,0,0,0
4,5,1,1,1,1
5,6,1,1,1,1
6,7,1,1,1,1
7,8,1,1,1,1
8,9,0,0,0,0
9,10,1,1,1,1
10,11,1,1,1,1
11,12,1,1,1,1
12,13,0,0,0,0
13,14,1,1,1,1
14,15,1,1,1,1
15,16,1,1,1,1
16,17,0,0,0,0
17,18,1,1,1,1
18,19,1,1,1,1
19,20,1,1,1,1
20,21,0,0,0,0
21,22,1,1,1,1
22,23,1,1,1,1
23,24,1,1,1,1
24,25,0,0,0,0
25,26,1,1,1,1
26,27,1,1,1,1
27,28,1,1,1,1
28,29,0,0,0,0
29,30,1,1,1,1
30,31,1,1,1,1
31,32,1,1,1,1
32,33,0,0,0,0
33,34,1,1,1,1
34,35,1,1,1,1
35,36,1,1,1,1
36,37,0,0,0,0
37,38,0,0,0,0
38,39,1,1,1,1
39,40,1,1,1,1
40,41,0,0,0,0
41,42,0,0,0,0
42,43,0,0,0,0
43,0,1,0,1,1
