,lines,0 8000,1 50000,2 40000,3 110000
0,1,0,0,0,0
1,2,0,0,0,0
2,3,1,1,1,1
3,4,0,0,0,0
4,5,0,0,0,0
5,6,0,0,0,0
6,7,1,1,1,1
7,8,1,1,1,1
8,9,0,0,0,0
9,10,1,1,1,1
10,11,1,1,1,1
11,12,1,1,1,1
12,13,1,1,1,1
13,14,1,1,1,1
14,15,1,1,1,1
15,16,1,1,1,1
16,17,1,1,1,1
17,18,1,1,1,1
18,19,1,1,1,1
19,20,0,0,0,0
20,21,1,1,1,1
21,22,0,0,0,0
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,1,1,1,1
26,27,1,1,1,1
27,28,1,1,1,1
28,29,1,1,1,1
29,30,1,1,1,1
30,31,1,1,1,1
31,32,1,1,1,1
32,33,1,1,1,1
33,34,1,1,1,1
34,35,0,0,0,0
35,36,1,1,1,1
36,37,0,0,0,0
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,1,1,1,1
41,42,1,1,1,1
42,43,1,1,1,1
43,44,1,1,1,1
44,45,1,1,1,1
45,46,1,1,1,1
46,47,1,1,1,1
47,48,1,1,1,1
48,49,1,1,1,1
49,50,0,0,0,0
50,51,1,1,1,1
51,52,0,0,0,0
52,53,1,1,1,1
53,54,0,0,0,0
54,55,1,1,1,1
55,56,1,1,1,1
56,57,1,1,1,1
57,58,1,1,1,1
58,59,1,1,1,1
59,60,1,1,1,1
60,61,1,1,1,1
61,62,1,1,1,1
62,63,1,1,1,1
63,64,1,1,1,1
64,65,0,0,0,0
65,66,1,1,1,1
66,67,0,0,0,0
67,68,1,1,1,1
68,69,1,1,1,1
69,70,0,0,0,0
70,0,1,0,1,1
