,lines,"6 -2 3 7 9 101 400
1
96
0","6 -2 3 7 9 101 400
2
400
0","6 -2 3 7 9 101 400
3
7
10
0","6 -2 3 7 9 101 400
4
-2
0"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,0,0,0,0
6,7,0,0,0,0
7,8,0,0,0,0
8,9,0,0,0,0
9,10,0,0,0,0
10,11,0,0,0,0
11,12,0,0,0,0
12,13,0,0,0,0
13,14,1,1,1,1
14,15,0,0,0,0
15,16,1,1,1,1
16,17,1,1,1,1
17,18,1,1,1,1
18,19,1,1,1,1
19,20,0,0,0,0
20,21,0,0,0,0
21,22,1,1,1,1
22,23,1,1,1,1
23,24,1,1,1,1
24,25,1,1,1,1
25,26,1,1,1,1
26,27,1,1,1,1
27,28,0,0,0,0
28,29,1,1,1,1
29,30,1,1,1,1
30,31,0,0,0,0
31,32,1,1,1,1
32,33,1,1,1,1
33,34,1,1,1,1
34,35,1,1,1,1
35,36,1,1,1,1
36,37,1,1,1,1
37,38,1,1,1,1
38,39,1,1,1,1
39,40,1,1,1,1
40,41,1,1,1,1
41,42,0,0,0,0
42,43,0,0,0,0
43,44,1,1,1,1
44,45,0,0,0,0
45,46,1,1,1,1
46,47,1,1,1,1
47,48,1,1,1,1
48,49,1,1,1,1
49,50,1,1,1,1
50,51,0,0,0,0
51,52,1,1,1,1
52,53,1,1,1,1
53,54,1,1,1,1
54,55,1,1,1,1
55,56,1,1,1,1
56,57,1,1,1,1
57,58,0,0,0,0
58,59,1,1,1,1
59,60,0,0,0,0
60,61,1,1,1,1
61,62,0,0,0,0
62,63,1,1,1,1
63,64,1,1,1,1
64,65,1,1,1,1
65,66,0,0,0,0
66,67,1,1,1,1
67,68,1,1,1,1
68,69,1,1,1,1
69,70,1,1,1,1
70,71,1,1,1,1
71,72,1,1,1,1
72,73,0,0,0,0
73,74,1,1,1,1
74,75,1,1,1,1
75,76,1,1,1,1
76,77,1,1,1,1
77,78,1,1,1,1
78,79,0,0,0,0
79,80,0,0,0,0
80,81,0,0,0,0
81,82,1,1,1,1
82,83,1,1,1,1
83,84,0,0,0,0
84,85,1,1,1,1
85,86,1,1,1,1
86,87,1,1,1,1
87,88,1,1,1,1
88,89,1,1,1,1
89,90,1,1,1,1
90,91,1,1,1,1
91,92,0,0,0,0
92,93,1,1,1,1
93,94,1,1,1,1
94,95,0,0,0,0
95,96,1,1,1,1
96,97,1,1,1,1
97,98,0,0,0,0
98,99,1,1,1,1
99,100,1,1,1,1
100,101,1,1,1,1
101,102,1,1,1,1
102,103,1,1,1,1
103,104,1,1,1,1
104,105,0,0,0,0
105,106,1,1,1,1
106,107,1,1,1,1
107,108,0,0,0,0
108,109,1,1,1,1
109,110,1,1,1,1
110,111,1,1,1,1
111,112,1,1,1,1
112,113,1,1,1,1
113,114,0,0,0,0
114,115,1,1,1,1
115,116,1,1,1,1
116,117,1,1,1,1
117,118,1,1,1,1
118,119,1,1,1,1
119,120,1,1,1,1
120,121,1,1,1,1
121,122,0,0,0,0
122,123,1,1,1,1
123,0,0,0,0,1
