,lines,0 8000,1 50000,2 40000,3 110000
0,1,0,0,0,0
1,2,0,0,0,0
2,3,1,1,1,1
3,4,0,0,0,0
4,5,0,0,0,0
5,6,0,0,0,0
6,7,0,0,0,0
7,8,0,0,0,0
8,9,0,0,0,0
9,10,0,0,0,0
10,11,1,1,1,1
11,12,0,0,0,0
12,13,1,1,1,1
13,14,0,0,0,0
14,15,0,0,0,0
15,16,0,0,0,0
16,17,1,1,1,1
17,18,0,0,0,0
18,19,1,1,1,1
19,20,0,0,0,0
20,21,1,1,1,1
21,22,0,0,0,0
22,23,1,1,1,1
23,24,0,0,0,0
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,0,0,0,0
28,29,1,1,1,1
29,30,0,0,0,0
30,31,1,1,1,1
31,32,0,0,0,0
32,33,1,1,1,1
33,34,0,0,0,0
34,35,1,1,1,1
35,36,0,0,0,0
36,37,0,0,0,0
37,38,0,0,0,0
38,39,1,1,1,1
39,40,0,0,0,0
40,41,1,1,1,1
41,42,0,0,0,0
42,43,0,0,0,0
43,44,0,0,0,0
44,45,1,1,1,1
45,46,0,0,0,0
46,47,0,0,0,0
47,48,0,0,0,0
48,49,1,1,1,1
49,50,0,0,0,0
50,51,1,1,1,1
51,52,0,0,0,0
52,53,1,1,1,1
53,54,0,0,0,0
54,55,1,1,1,1
55,56,0,0,0,0
56,57,1,1,1,1
57,58,0,0,0,0
58,59,1,1,1,1
59,60,0,0,0,0
60,61,1,1,1,1
61,62,0,0,0,0
62,63,1,1,1,1
63,64,0,0,0,0
64,65,1,1,1,1
65,66,0,0,0,0
66,67,1,1,1,1
67,68,0,0,0,0
68,69,0,0,0,0
69,70,0,0,0,0
70,71,1,1,1,1
71,72,0,0,0,0
72,73,1,1,1,1
73,74,0,0,0,0
74,75,0,0,0,0
75,76,0,0,0,0
76,77,1,1,1,1
77,78,0,0,0,0
78,79,0,0,0,0
79,80,0,0,0,0
80,81,1,1,1,1
81,82,0,0,0,0
82,83,1,1,1,1
83,84,0,0,0,0
84,85,1,1,1,1
85,86,0,0,0,0
86,87,1,1,1,1
87,88,0,0,0,0
88,89,1,1,1,1
89,90,0,0,0,0
90,91,1,1,1,1
91,92,0,0,0,0
92,93,1,1,1,1
93,94,0,0,0,0
94,95,1,1,1,1
95,96,0,0,0,0
96,97,1,1,1,1
97,98,0,0,0,0
98,99,1,1,1,1
99,100,0,0,0,0
100,101,0,0,0,0
101,102,0,0,0,0
102,103,1,1,1,1
103,104,0,0,0,0
104,105,1,1,1,1
105,106,0,0,0,0
106,107,0,0,0,0
107,108,0,0,0,0
108,109,1,1,1,1
109,110,0,0,0,0
110,111,0,0,0,0
111,112,0,0,0,0
112,113,1,1,1,1
113,114,0,0,0,0
114,115,1,1,1,1
115,116,0,0,0,0
116,117,1,1,1,1
117,118,0,0,0,0
118,119,1,1,1,1
119,120,0,0,0,0
120,121,1,1,1,1
121,122,0,0,0,0
122,123,1,1,1,1
123,124,0,0,0,0
124,125,1,1,1,1
125,126,0,0,0,0
126,127,1,1,1,1
127,128,0,0,0,0
128,129,1,1,1,1
129,130,0,0,0,0
130,131,1,1,1,1
131,132,0,0,0,0
132,133,0,0,0,0
133,134,0,0,0,0
134,135,1,1,1,1
135,136,0,0,0,0
136,137,1,1,1,1
137,138,0,0,0,0
138,139,0,0,0,0
139,140,0,0,0,0
140,141,0,0,0,0
141,142,0,0,0,0
142,143,0,0,0,0
143,144,0,0,0,0
144,145,1,1,1,1
145,146,0,0,0,0
146,147,0,0,0,0
147,148,0,0,0,0
148,149,0,0,0,0
149,150,0,0,0,0
150,151,1,1,1,1
151,152,0,0,0,0
152,153,0,0,0,0
153,154,0,0,0,0
154,155,0,0,0,0
155,156,0,0,0,0
156,0,1,1,0,0
