,lines,"4
12 89 32 91
32","7
12 43 4533 232 31 322 1
1","6
12 21 392 3 1923 32
1212","10
12 87 32  2 1321 43 9 0 239 2783
999"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,1,1,1,1
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,1,1,1,1
7,8,1,1,1,1
8,9,1,1,1,1
9,10,1,1,1,1
10,11,0,0,0,0
11,12,1,1,1,1
12,13,1,1,1,1
13,14,0,0,0,0
14,15,1,1,1,1
15,16,1,1,1,1
16,17,1,1,1,1
17,18,0,0,0,0
18,19,1,1,1,1
19,20,1,1,1,1
20,21,0,0,0,0
21,22,1,1,1,1
22,23,1,1,1,1
23,24,0,0,0,0
24,25,0,0,0,0
25,26,0,0,0,0
26,27,1,1,1,1
27,28,0,0,0,0
28,29,1,1,1,1
29,30,0,0,0,0
30,31,1,1,1,1
31,32,0,0,0,0
32,33,1,1,1,1
33,34,0,0,0,0
34,35,0,0,0,0
35,36,0,0,0,0
36,37,0,0,0,0
37,38,1,1,1,1
38,39,1,1,1,1
39,40,1,1,1,1
40,41,0,0,0,0
41,42,0,0,0,0
42,43,1,1,1,1
43,44,0,0,0,0
44,45,0,0,0,0
45,46,1,1,1,1
46,47,0,0,0,0
47,48,1,1,1,1
48,49,0,0,0,0
49,50,1,1,1,1
50,51,0,0,0,0
51,52,1,1,1,1
52,53,1,1,1,1
53,54,1,1,1,1
54,55,0,0,0,0
55,56,0,0,0,0
56,57,0,0,0,0
57,58,0,0,0,0
58,59,1,1,1,1
59,0,0,0,1,1
