,lines,"2
18201101 78
18201102 89","3
18206118 90
18206117 89
18206112 90","2
18206107 89
18206117 101"
0,1,0,0,0
1,2,1,1,1
2,3,0,0,0
3,4,0,0,0
4,5,0,0,0
5,6,1,1,1
6,7,1,1,1
7,8,0,0,0
8,9,1,1,1
9,10,1,1,1
10,11,0,0,0
11,12,1,1,1
12,13,1,1,1
13,14,0,0,0
14,15,0,0,0
15,16,0,0,0
16,17,1,1,1
17,18,0,0,0
18,19,1,1,1
19,20,1,1,1
20,21,0,0,0
21,22,0,0,0
22,23,0,0,0
23,24,1,1,1
24,25,0,0,0
25,26,1,1,1
26,27,1,1,1
27,28,0,0,0
28,29,1,1,1
29,30,0,0,0
30,31,0,0,0
31,32,0,0,0
32,33,1,1,1
33,34,1,1,1
34,35,0,0,0
35,36,0,0,0
36,37,1,1,1
37,38,1,1,1
38,0,1,0,1
