,lines,"4
12 89 32 91
32","7
12 43 4533 232 31 322 1
1","6
12 21 392 3 1923 32
1212","10
12 87 32  2 1321 43 9 0 239 2783
999"
0,1,0,0,0,0
1,2,1,1,1,1
2,3,0,0,0,0
3,4,1,1,1,1
4,5,1,1,1,1
5,6,0,0,0,0
6,7,1,1,1,1
7,8,0,0,0,0
8,9,1,1,1,1
9,10,0,0,0,0
10,11,1,1,1,1
11,12,1,1,1,1
12,13,0,0,0,0
13,14,1,1,1,1
14,15,0,0,0,0
15,16,1,1,1,1
16,17,0,0,0,0
17,18,1,1,1,1
18,19,1,1,1,1
19,20,1,1,1,1
20,21,0,0,0,0
21,22,0,0,0,0
22,23,0,0,0,0
23,24,1,1,1,1
24,25,1,1,1,1
25,26,1,1,1,1
26,27,0,0,0,0
27,28,1,1,1,1
28,29,0,0,0,0
29,30,1,1,1,1
30,31,1,1,1,1
31,32,0,0,0,0
32,33,1,1,1,1
33,34,0,0,0,0
34,35,1,1,1,1
35,36,1,1,1,1
36,37,0,0,0,0
37,38,1,1,1,1
38,39,0,0,0,0
39,40,1,1,1,1
40,41,1,1,1,1
41,42,0,0,0,0
42,43,0,0,0,0
43,44,1,1,1,1
44,45,0,0,0,0
45,46,1,1,1,1
46,47,0,0,0,0
47,48,1,1,1,1
48,49,0,0,0,0
49,0,1,0,1,1
