,lines,50 97 m,50 93 m,50 90 m,50 90 e,50 93 e,50 97 e
0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0
2,3,0,0,0,0,0,0
3,4,1,1,1,1,1,1
4,5,0,0,0,0,0,0
5,6,0,0,0,0,0,0
6,7,0,0,0,0,0,0
7,8,1,1,1,1,1,1
8,9,1,1,1,1,1,1
9,10,1,1,1,1,1,1
10,11,1,1,1,1,1,1
11,12,1,1,1,1,1,1
12,13,1,1,1,1,1,1
13,14,0,0,0,0,0,0
14,15,1,1,1,1,1,1
15,16,0,0,0,0,0,0
16,17,1,1,1,1,1,1
17,18,0,0,0,0,0,0
18,19,1,1,1,1,1,1
19,20,1,1,1,1,1,1
20,21,0,0,0,0,0,0
21,22,1,1,1,1,1,1
22,23,0,0,0,0,0,0
23,24,1,1,1,1,1,1
24,25,1,1,1,1,1,1
25,26,1,1,1,1,1,1
26,27,0,0,0,0,0,0
27,28,1,1,1,1,1,1
28,29,1,1,1,1,1,1
29,30,0,0,0,0,0,0
30,31,0,0,0,0,0,0
31,32,1,1,1,1,1,1
32,33,1,1,1,1,1,1
33,34,0,0,0,0,0,0
34,35,1,1,1,1,1,1
35,36,0,0,0,0,0,0
36,37,1,1,1,1,1,1
37,38,1,1,1,1,1,1
38,39,0,0,0,0,0,0
39,40,1,1,1,1,1,1
40,41,0,0,0,0,0,0
41,42,1,1,1,1,1,1
42,43,1,1,1,1,1,1
43,44,1,1,1,1,1,1
44,45,0,0,0,0,0,0
45,46,1,1,1,1,1,1
46,47,1,1,1,1,1,1
47,48,0,0,0,0,0,0
48,49,0,0,0,0,0,0
49,50,0,0,0,0,0,0
50,51,1,1,1,1,1,1
51,52,0,0,0,0,0,0
52,0,0,1,1,1,1,0
