,lines,"6 -2 3 7 9 101 400
1
96
0","6 -2 3 7 9 101 400
2
400
0","6 -2 3 7 9 101 400
3
7
10
0","6 -2 3 7 9 101 400
4
-2
0"
0,1,0,0,0,0
1,2,0,0,0,0
2,3,0,0,0,0
3,4,0,0,0,0
4,5,0,0,0,0
5,6,1,1,1,1
6,7,0,0,0,0
7,8,0,0,0,0
8,9,1,1,1,1
9,10,0,0,0,0
10,11,1,1,1,1
11,12,1,1,1,1
12,13,1,1,1,1
13,14,1,1,1,1
14,15,1,1,1,1
15,16,0,0,0,0
16,17,1,1,1,1
17,18,1,1,1,1
18,19,1,1,1,1
19,20,1,1,1,1
20,21,1,1,1,1
21,22,1,1,1,1
22,23,1,1,1,1
23,24,1,1,1,1
24,25,1,1,1,1
25,26,0,0,0,0
26,27,1,1,1,1
27,28,1,1,1,1
28,29,1,1,1,1
29,30,0,0,0,0
30,31,1,1,1,1
31,32,0,0,0,0
32,33,0,0,0,0
33,34,1,1,1,1
34,35,1,1,1,1
35,36,1,1,1,1
36,37,0,0,0,0
37,38,0,0,0,0
38,39,1,1,1,1
39,40,0,0,0,0
40,41,1,1,1,1
41,42,0,0,0,0
42,43,1,1,1,1
43,44,1,1,1,1
44,45,1,1,1,1
45,46,1,1,1,1
46,47,0,0,0,0
47,48,0,0,0,0
48,49,0,0,0,0
49,50,1,1,1,1
50,51,1,1,1,1
51,52,1,1,1,1
52,53,1,1,1,1
53,54,0,0,0,0
54,55,1,1,1,1
55,56,0,0,0,0
56,57,0,0,0,0
57,58,1,1,1,1
58,59,1,1,1,1
59,60,0,0,0,0
60,61,1,1,1,1
61,62,0,0,0,0
62,63,1,1,1,1
63,64,1,1,1,1
64,65,0,0,0,0
65,66,0,0,0,0
66,67,1,1,1,1
67,68,1,1,1,1
68,69,1,1,1,1
69,70,1,1,1,1
70,71,0,0,0,0
71,72,1,1,1,1
72,73,0,0,0,0
73,74,0,0,0,0
74,75,1,1,1,1
75,76,1,1,1,1
76,77,1,1,1,1
77,78,0,0,0,0
78,79,1,1,1,1
79,80,1,1,1,1
80,81,0,0,0,0
81,82,1,1,1,1
82,83,0,0,0,0
83,84,1,1,1,1
84,85,0,0,0,0
85,86,1,1,1,1
86,87,0,0,0,0
87,88,1,1,1,1
88,89,1,1,1,1
89,90,1,1,1,1
90,91,0,0,0,0
91,92,0,0,0,0
92,93,0,0,0,0
93,94,1,1,1,1
94,95,1,1,1,1
95,96,1,1,1,1
96,97,1,1,1,1
97,98,0,0,0,0
98,99,1,1,1,1
99,100,0,0,0,0
100,101,0,0,0,0
101,102,1,1,1,1
102,103,1,1,1,1
103,104,0,0,0,0
104,105,1,1,1,1
105,106,1,1,1,1
106,107,0,0,0,0
107,108,1,1,1,1
108,109,1,1,1,1
109,0,0,0,0,1
