,id,code,is_true,errorline
0,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#include <stdlib.h>
#include <string.h>
#include <math.h>
#define varb_6 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[varb_6], varb_1;
    scanf(""%c\n"", &varb_1);
gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0(char*varb_0,char varb_1)
{
char varb_5[varb_6];
int varb_7,varb_8;
for(varb_7=0,varb_8=0;*(varb_0+varb_7)!='\0';varb_7++)
{
if(*(varb_0+varb_7)==varb_1)
continue;
else{
*(varb_0+varb_8)=*(varb_0+varb_7);
varb_8++;}
}
for(varb_7=0;varb_7!='\0';varb_7++)
{
printf(""%s"",varb_0[varb_7]);
}
}",0.0,26
1,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#define MAXN 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[MAXN], varb_1;
    scanf(""%c\n"", &varb_1);
    gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0(char *varb_0,char varb_1)
{
    int varb_5,varb_6;
}",0.0,13
2,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#define MAXN 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[MAXN], varb_1;
    scanf(""%c\n"", &varb_1);
    gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0( char *varb_0, char varb_1 )
{
	int varb_5,varb_6;
    varb_5 = 0;
    varb_6 = 0;
while(varb_0[varb_5] != '\0') {
    if(varb_0[varb_5] != 'c' ){
        varb_0[varb_6] = varb_0[varb_5];
        varb_6++;
    }
    varb_5++;
}
 varb_0[varb_6] = '\0';
}",0.0,19
3,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#define MAXN 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[MAXN], varb_1;
    scanf(""%c\n"", &varb_1);
gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0( char *varb_0, char varb_1 )
{
int varb_5,varb_6;
char *varb_7;
for(varb_5=0;*(varb_0+varb_5)!=0;varb_5++)
{
if(*(varb_0+varb_5)!=varb_1)
{
*(varb_7+varb_6)==*(varb_0+varb_5);
varb_6++;
}
}
varb_0=varb_7;
}
",0.0,15
4,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#define MAXN 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[MAXN], varb_1;
    scanf(""%c\n"", &varb_1);
    gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0( char *varb_0, char varb_1 )
{
	int varb_5,varb_6;
    varb_5 = 0;
    varb_6 = 0;
while(varb_0[varb_5] != '\0') {
    if(varb_0[varb_5] != 'c' ){
        varb_0[varb_6] = varb_0[varb_5];
        varb_6++;
    }
    varb_5++;
}
 varb_0[varb_6] = '\0';
}",0.0,19
5,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#define MAXN 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[MAXN], varb_1;
    scanf(""%c\n"", &varb_1);
    gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0( char *varb_0, char varb_1 )
{
	int varb_5,varb_6;
	for(varb_5=0;varb_5<MAXN;varb_5++)
		if(varb_0[varb_5]==varb_1)
	 {
	 	for(varb_6=varb_5;varb_6<MAXN-1;varb_6++)
	 	   varb_0[varb_6+1]=varb_0[varb_6];
	 }
 } 
",0.0,15
6,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#include <string.h>
#define MAXN 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[MAXN], varb_1;
    scanf(""%c\n"", &varb_1);
gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0( char *varb_0, char varb_1 )
{
    int varb_5,varb_6;
    varb_5=strlen(varb_0);
    for(varb_6=0;varb_6<varb_5;varb_6++)
    {
      if(varb_0[varb_6]=varb_1)
      varb_0[varb_6]=varb_0[varb_6+1];
     }
    }
",0.0,16
7,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#define MAXN 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[MAXN], varb_1;
    scanf(""%c\n"", &varb_1);
    gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0( char *varb_0, char varb_1 )
{
   int varb_5,varb_6;
   for(varb_5=0,varb_6=0;varb_0='\0';varb_5++)
      if(varb_0[varb_5]!=varb_1)
        varb_0[varb_6++]=varb_0[varb_5];
   varb_0[varb_6]='\0';
}",0.0,15
8,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#include <string.h>
#define MAXN 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[MAXN], varb_1;
    scanf(""%c\n"", &varb_1);
gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0( char *varb_0, char varb_1 )
{
    int varb_5,varb_6;
    varb_5=strlen(varb_0);
    for(varb_6=0;varb_6<varb_5;varb_6++)
    {
      if(varb_0[varb_6]=varb_1);
      varb_0[varb_6]=varb_0[varb_6+1];
     }
    }
",0.0,16
9,2c9f30a56ef37e1f016f1c371d1c4a71,"#include <stdio.h>
#define MAXN 20
void func_0( char *varb_0, char varb_1 );
int main()
{
    char varb_0[MAXN], varb_1;
    scanf(""%c\n"", &varb_1);
gets(varb_0);
    func_0(varb_0, varb_1);
    printf(""%s\n"", varb_0);
    return 0;
}
void func_0(char *varb_0,char varb_1)
{
int varb_5,varb_6,varb_7;
varb_7=0;
for(varb_5=0;varb_0[varb_5]!='\0';varb_5++)
{
varb_7++;}
for(varb_5=0;varb_5<varb_7;varb_5++)
{if(varb_0[varb_5]=='c')
{
for(varb_6=varb_5;varb_6<varb_7+1;varb_6++)
varb_0[varb_6]=varb_0[varb_6+1];
varb_7--;
}
}
}",0.0,15
