,id,code,is_true,format_code,errorline
0,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>

void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *px, int *py, int *pmax )
{
	if(*px>*py)
		pmax=px;
	else
		pmax=py;
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 )
{
	if(*varb_0>*varb_1)
		varb_2=varb_0;
	else
		varb_2=varb_1;
}",13
1,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>

void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *px, int *py, int *pmax )
{
	int x,y,max;
	px=&x;
	py=&y;
	if(*px>*py)
	*pmax=*px;
	else
	*pmax=*py;
	pmax=&max;
	
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 )
{
	int varb_4,varb_5,varb_3;
	varb_0=&varb_4;
	varb_1=&varb_5;
	if(*varb_0>*varb_1)
	*varb_2=*varb_0;
	else
	*varb_2=*varb_1;
	varb_2=&varb_3;
}",4
2,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>

void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *x, int *y, int *max)
{
if(*x>*y)max=x;
else max=y;
return max;
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_4, int *varb_5, int *varb_3)
{
if(*varb_4>*varb_5)varb_3=varb_4;
else varb_3=varb_5;
return varb_3;
}",13
3,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>

void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *x, int *y, int *max)
{
if(*x>*y)max=x;
else max=y;
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_4, int *varb_5, int *varb_3)
{
if(*varb_4>*varb_5)varb_3=varb_4;
else varb_3=varb_5;
}",13
4,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>
void findmax( int *px, int *py, int *pmax );
int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);
    return 0;
} 
void findmax( int *px, int *py, int *pmax )
{
	if(px>py)
	{
		pmax=px;
	}
	else
	    {pmax=py;}
        
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 )
{
	if(varb_0>varb_1)
	{
		varb_2=varb_0;
	}
	else
	    {varb_2=varb_1;}
}",13
5,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>

void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 

void findmax( int *px, int *py, int *pmax ){
if(*px>*py)pmax=px;
else pmax=py;
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 ){
if(*varb_0>*varb_1)varb_2=varb_0;
else varb_2=varb_1;
}",11
6,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>
void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *px, int *py, int *pmax )
{
  if(px>py) 
  pmax=px;
  else
  pmax=py;

}

",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 )
{
  if(varb_0>varb_1) 
  varb_2=varb_0;
  else
  varb_2=varb_1;
}
",13
7,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>

void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *px, int *py, int *pmax )
{
if(*px>*py)
*px=*pmax;
else
*py=*pmax;

return *pmax;
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 )
{
if(*varb_0>*varb_1)
*varb_0=*varb_2;
else
*varb_1=*varb_2;
return *varb_2;
}",13
8,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>

void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *px, int *py, int *pmax )
{
if(*px>*py)
*px=*pmax;
else
*py=*pmax;

}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 )
{
if(*varb_0>*varb_1)
*varb_0=*varb_2;
else
*varb_1=*varb_2;
}",13
9,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>

void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *px, int *py, int *pmax ){
  if(px>py)
   pmax=px;
  else
   pmax=py;
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 ){
  if(varb_0>varb_1)
   varb_2=varb_0;
  else
   varb_2=varb_1;
}",11
10,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>
void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *px, int *py, int *pmax )
{
  if(px>py) 
  *pmax=*px;
  else
  *pmax=*py;

}

",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 )
{
  if(varb_0>varb_1) 
  *varb_2=*varb_0;
  else
  *varb_2=*varb_1;
}
",13
11,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>

void findmax( int *px, int *py, int *pmax );

int main()
{    
    int max, x, y; 

    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);

    return 0;
} 
void findmax( int *px, int *py, int *pmax )
{
  if(px<py)
   pmax=py;
  else
   pmax=px;
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
} 
void func_0( int *varb_0, int *varb_1, int *varb_2 )
{
  if(varb_0<varb_1)
   varb_2=varb_1;
  else
   varb_2=varb_0;
}",13
12,2c9f30a575ceffb901766075b9886f5f,"#include <stdio.h>
void findmax( int *px, int *py, int *pmax );
int main()
{    
    int max, x, y; 
    scanf(""%d %d"", &x, &y);
    findmax( &x, &y, &max );
    printf(""%d\n"", max);
    return 0;
}
void findmax( int *px, int *py, int *pmax )
{
	if(px<py)
	pmax=py;
	else
	pmax=px;
}",0.0,"#include <stdio.h>
void func_0( int *varb_0, int *varb_1, int *varb_2 );
int main()
{    
    int varb_3, varb_4, varb_5; 
    scanf(""%d %d"", &varb_4, &varb_5);
    func_0( &varb_4, &varb_5, &varb_3 );
    printf(""%d\n"", varb_3);
    return 0;
}
void func_0( int *varb_0, int *varb_1, int *varb_2 )
{
	if(varb_0<varb_1)
	varb_2=varb_1;
	else
	varb_2=varb_0;
}",13
